paper_id,is_calibration,num_annotators,annotator_ids
iclr26_xwOxp1kwiO,no,3,"ANN001,ANN059,ANN060"
iclr26_zV5FeNiWDO,no,3,"ANN054,ANN055,ANN056"
nips23_38dQv3OwN3,no,3,"ANN027,ANN028,ANN029"
nips23_JTwxylP6U9,no,3,"ANN046,ANN047,ANN048"
nips23_KQ25VgEvOJ,no,3,"ANN051,ANN052,ANN053"
nips23_N6YNe4KxDc,no,3,"ANN045,ANN046,ANN047"
nips23_S8hg5LpFvz,no,3,"ANN035,ANN036,ANN037"
nips23_SfXjt1FtMQ,no,3,"ANN021,ANN022,ANN023"
nips23_TUGoUNkccV,no,3,"ANN046,ANN047,ANN048"
nips23_YwgA3avHrP,no,3,"ANN058,ANN059,ANN060"
nips23_b60wLlkBta,no,3,"ANN022,ANN023,ANN024"
nips23_bA3iR0jQO9,no,3,"ANN028,ANN029,ANN030"
nips23_dDk6URGRXP,no,3,"ANN018,ANN019,ANN020"
nips23_e2MCL6hObn,no,3,"ANN039,ANN040,ANN041"
nips23_hVVp8TXIPs,no,3,"ANN010,ANN011,ANN012"
nips23_haHIji0yFt,no,3,"ANN050,ANN051,ANN052"
nips23_kXOXrVnwbb,no,3,"ANN026,ANN027,ANN028"
nips23_x6cOcxRnxG,no,3,"ANN035,ANN036,ANN037"
nips24_A34sBX4R5N,no,3,"ANN045,ANN046,ANN047"
nips24_BSYn7ah4KX,no,3,"ANN038,ANN039,ANN040"
nips24_HSRs6yyuUK,no,3,"ANN014,ANN015,ANN016"
nips24_IAse6CAG26,yes,60,"ANN001,ANN002,ANN003,ANN004,ANN005,ANN006,ANN007,ANN008,ANN009,ANN010,ANN011,ANN012,ANN013,ANN014,ANN015,ANN016,ANN017,ANN018,ANN019,ANN020,ANN021,ANN022,ANN023,ANN024,ANN025,ANN026,ANN027,ANN028,ANN029,ANN030,ANN031,ANN032,ANN033,ANN034,ANN035,ANN036,ANN037,ANN038,ANN039,ANN040,ANN041,ANN042,ANN043,ANN044,ANN045,ANN046,ANN047,ANN048,ANN049,ANN050,ANN051,ANN052,ANN053,ANN054,ANN055,ANN056,ANN057,ANN058,ANN059,ANN060"
nips24_Luxk3z1tSG,no,3,"ANN017,ANN018,ANN019"
nips24_MncgmW8b6q,no,3,"ANN006,ANN007,ANN008"
nips24_OP3sNTIE1O,no,3,"ANN009,ANN010,ANN011"
nips24_QXkFC7D6p4,no,3,"ANN013,ANN014,ANN015"
nips24_XgwTH95kCl,no,3,"ANN021,ANN022,ANN023"
nips24_Zb2ixT19VF,no,3,"ANN018,ANN019,ANN020"
nips24_a3cauWMXNV,no,3,"ANN023,ANN024,ANN025"
nips24_aRhxruC2bi,no,3,"ANN020,ANN021,ANN022"
nips24_fvG6ZHrH0B,no,3,"ANN050,ANN051,ANN052"
nips24_js74ZCddxG,no,3,"ANN021,ANN022,ANN023"
nips24_lsd27JUJ8v,no,3,"ANN047,ANN048,ANN049"
nips24_nU4lvlMwrt,no,3,"ANN040,ANN041,ANN042"
nips24_ncqauwSyl5,no,3,"ANN022,ANN023,ANN024"
nips24_o9Lkiv1qpc,no,3,"ANN008,ANN009,ANN010"
nips24_r0eSCJ6qsL,no,3,"ANN005,ANN006,ANN007"
nips24_wqLC4G1GN3,no,3,"ANN041,ANN042,ANN043"
nips24_xRdpCOdghl,no,3,"ANN033,ANN034,ANN035"
